Title,Type,Genre,Release Year,Duration,No of Seasons,No of Episodes,Awards Won,Award Nominations,ImDb Rating,Global Availability,Netflix Original,Original Language, Viewership 
Aggretsuko,TV Series,Anime,2018,17,5,50,0,9,8,Available,No,Japanese," 24,00,000 "
The Promised Neverland,TV Series,Anime,2019,23,2,23,8,21,8.2,Not Available,No,Japanese," 22,50,000 "
Godzilla Singular Point,TV Series,Anime,2021,25,1,13,0,0,6.5,Available,Yes,Japanese," 19,00,000 "
Fate/Apocrypha,TV Series,Anime,2017,23,2,25,5,16,6.6,Available,Yes,Japanese," 17,00,000 "
Great Pretender,TV Series,Anime,2020,24,2,23,0,14,7.9,Available,Yes,Japanese," 16,50,000 "
Trese,Movie,Anime,2021,29,1,6,0,0,7,Available,Yes,English," 14,00,000 "
Cagaster of an Insect Cage,TV Series,Anime,2020,28,1,12,0,0,6,Available,Yes,Japanese," 14,00,000 "
7Seeds,TV Series,Anime,2019,31,2,24,0,0,6.3,Available,Yes,Japanese," 13,00,000 "
Sailor Moon Crystal,TV Series,Anime,2014,24,3,39,0,3,7.8,Not Available,No,Japanese," 12,00,000 "
Forest of Piano,TV Series,Anime,2018,26,2,24,0,2,7.3,Not Available,Yes,Japanese," 11,00,000 "
Cannon Busters,TV Series,Anime,2019,24,1,12,0,0,6.7,Not Available,No,Japanese," 11,00,000 "
DRAGON PILOT: Hisone & Masotan,TV Series,Anime,2018,25,1,12,0,1,6.8,Not Available,Yes,Japanese," 9,00,000 "
Ghost in the Shell: SAC_2045,TV Series,Anime,2020,25,2,24,3,2,6.4,Not Available,Yes,Japanese," 9,00,000 "
Levius,TV Series,Anime,2019,25,1,12,0,0,7,Available,Yes,Japanese," 7,00,000 "
Cyborg 009: Call of Justice,TV Series,Anime,2016,25,1,12,0,0,5.9,Available,Yes,Japanese," 4,00,000 "
Teasing Master Takagi-san,TV Series,Anime,2018,24,1,12,8,17,7.7,Not Available,No,Japanese," 4,00,000 "
Ingress: The Animation,TV Series,Anime,2018,24,1,11,0,1,6.5,Available,No,Japanese," 4,00,000 "
Ghost in the Shell: SAC_2045 Sustainable War,Movie,Anime,2021,119,NA,NA,3,2,5.8,Not Available,Yes,Japanese," 3,00,000 "
Violet Evergarden: Special,TV Series,Anime,2018,25,1,14,7,12,8.4,Not Available,No,Japanese," 2,00,000 "
Food Wars!: Shokugeki no Soma,TV Series,Anime,2015,24,2,37,11,25,8.1,Not Available,No,Japanese," 1,20,000 "
LegendÂ ofÂ Exorcism,TV Series,Anime,2020,19,1,13,0,0,7.1,Not Available,No,Mandarin," 1,00,000 "
Don't look up,Movie,Comedy,2021,143,NA,NA,24,95,7.2,Available,Yes,English," 2,52,00,000 "
We're the Millers,Movie,Comedy,2013,109,NA,NA,4,17,7,Not Available,No,English," 2,40,00,000 "
Fuller House,TV Series,Comedy,2016,30,5,75,9,22,6.7,Available,Yes,English," 1,90,40,000 "
This is where I leave you,Movie,Comedy,2014,103,NA,NA,0,1,6.6,Not Available,No,English," 1,86,00,000 "
Little Man,Movie,Comedy,2006,97,NA,NA,6,15,4.5,Not Available,No,English," 1,43,00,000 "
Grace and Frankie,TV Series,Comedy,2015,30,7,94,3,62,8.2,Available,Yes,English," 1,08,28,571 "
The other guys,Movie,Comedy,2010,107,NA,NA,3,15,6.6,Not Available,No,English," 86,00,000 "
Afterlife of the Party,Movie,Comedy,2021,110,NA,NA,1,0,5.8,Available,Yes,English," 77,00,000 "
Girlboss,TV Series,Comedy,2017,26,1,13,0,0,7,Available,Yes,English," 76,00,000 "
I used to be famous,Movie,Comedy,2022,104,NA,NA,0,1,6.6,Available,No,English," 63,00,000 "
Kung Fu Hustle,Movie,Comedy,2004,99,NA,NA ,25,47,7.7,Not Available,No,Cantonese," 59,00,000 "
Julie & Julia,Movie,Comedy,2009,123,NA,NA,26,47,7,Not Available,No,English," 57,00,000 "
Bad Trip,Movie,Comedy,2021,86,NA,NA,0,1,6.5,Available,Yes,English," 44,00,000 "
Unbreakable Kimmy Schmidt,TV Series,Comedy,2015,30,4,51,25,97,7.6,Available,Yes,English," 42,00,000 "
Death at a funeral,Movie,Comedy,2010,92,NA,NA,3,2,5.7,Not Available,No,English," 40,00,000 "
A Bad Moms Christmas,Movie,Comedy,2017,104,NA,NA,1,1,5.6,Not Available,No,English," 37,00,000 "
The Fundamentals of caring,Movie,Comedy,2016,97,NA,NA,0,4,7.3,Available,No,English," 33,00,000 "
Between Two Ferns: The Movie,Movie,Comedy,2019,83,NA,NA,1,2,6.1,Available,No,English," 33,00,000 "
Budapest,Movie,Comedy,2018,103,NA,NA,0,0,5.5,Not Available,No,French," 31,00,000 "
